15min_bin,glucose
2019-08-01 04:45:00,5.2
2019-08-01 05:00:00,5.4
2019-08-01 05:15:00,5.5
2019-08-01 05:30:00,5.3
2019-08-01 05:45:00,5.75
2019-08-01 06:00:00,6.15
2019-08-01 06:15:00,
2019-08-01 06:30:00,6.5
2019-08-01 06:45:00,6.2
2019-08-01 07:00:00,6.4
2019-08-01 07:15:00,6.6
2019-08-01 07:30:00,6.8
2019-08-01 07:45:00,7.1
2019-08-01 08:00:00,6.699999999999999
2019-08-01 08:15:00,6.5
2019-08-01 08:30:00,6.6
2019-08-01 08:45:00,6.8
2019-08-01 09:00:00,6.75
2019-08-01 09:15:00,6.4
2019-08-01 09:30:00,7.0
2019-08-01 09:45:00,7.8
2019-08-01 10:00:00,7.7
2019-08-01 10:15:00,6.75
2019-08-01 10:30:00,6.5
2019-08-01 10:45:00,6.7
2019-08-01 11:00:00,6.4
2019-08-01 11:15:00,6.1
2019-08-01 11:30:00,6.1
2019-08-01 11:45:00,6.0
2019-08-01 12:00:00,6.2
2019-08-01 12:15:00,6.15
2019-08-01 12:30:00,6.2
2019-08-01 12:45:00,6.15
2019-08-01 13:00:00,6.3
2019-08-01 13:15:00,6.949999999999999
2019-08-01 13:30:00,7.0
2019-08-01 13:45:00,6.4
2019-08-01 14:00:00,5.7
2019-08-01 14:15:00,5.85
2019-08-01 14:30:00,6.449999999999999
2019-08-01 14:45:00,6.25
2019-08-01 15:00:00,5.9
2019-08-01 15:15:00,5.95
2019-08-01 15:30:00,5.8
2019-08-01 15:45:00,6.35
2019-08-01 16:00:00,6.666666666666667
2019-08-01 16:15:00,6.050000000000001
2019-08-01 16:30:00,5.75
2019-08-01 16:45:00,5.35
2019-08-01 17:00:00,5.5
2019-08-01 17:15:00,5.8
2019-08-01 17:30:00,5.85
2019-08-01 17:45:00,5.25
2019-08-01 18:00:00,5.85
2019-08-01 18:15:00,6.1
2019-08-01 18:30:00,6.15
2019-08-01 18:45:00,6.8
2019-08-01 19:00:00,7.4
2019-08-01 19:15:00,8.1
2019-08-01 19:30:00,7.7
2019-08-01 19:45:00,5.949999999999999
2019-08-01 20:00:00,5.550000000000001
2019-08-01 20:15:00,6.300000000000001
2019-08-01 20:30:00,6.4
2019-08-01 20:45:00,6.5
2019-08-01 21:00:00,6.0
2019-08-01 21:15:00,5.3
2019-08-01 21:30:00,4.9
2019-08-01 21:45:00,4.8
2019-08-01 22:00:00,4.4
2019-08-01 22:15:00,4.8
2019-08-01 22:30:00,5.6
2019-08-01 22:45:00,5.9
2019-08-01 23:00:00,5.3
